,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
1,6546.8,6531.8,6513.3,3675.27,26732.44
2,6599.8,6546.8,6531.8,3656.08,26652.52
3,6564.3,6599.8,6546.8,3659.13,26756.24
4,6558.8,6564.3,6599.8,3705.98,26817.94
5,6555.4,6558.8,6564.3,3683.05,26467.08
6,6550.2,6555.4,6558.8,3694.73,26547.44
7,6490.3,6550.2,6555.4,3670.94,26751.24
8,6463.4,6490.3,6550.2,3668.28,26809.37
9,6384.7,6463.4,6490.3,3653.78,26800.98
10,6266.2,6384.7,6463.4,3645.87,26787.54
11,6367.6,6266.2,6384.7,3634.18,26433.62
12,6362.9,6367.6,6266.2,3638.55,26644.71
13,6432.2,6391.1,6362.9,3635.5,26296.86
14,6333.8,6432.2,6391.1,3594.52,26165.59
15,6334.4,6351.5,6333.8,3579.31,25527.37
16,6385.2,6334.4,6351.5,3559.41,25634.34
17,6365.3,6385.2,6334.4,3612.09,25728.14
18,6421.3,6365.3,6385.2,3610.31,26014.62
19,6316.4,6421.3,6365.3,3600.16,25906.93
20,6338.9,6316.4,6421.3,3552.57,25385.87
21,6382.1,6338.9,6316.4,3562.67,25520.88
22,6296.9,6382.1,6338.9,3563.22,25349.6
23,6186.3,6296.9,6382.1,3543.26,24905.59
24,5910.0,6186.3,6296.9,3583.04,24839.84
25,5906.2,5910.0,6186.3,3508.34,24325.23
26,5883.3,5906.2,5910.0,3485.74,24105.28
27,5786.8,5883.3,5906.2,3406.46,23695.23
28,5577.3,5655.0,5786.8,3296.2,23295.48
29,5581.8,5577.3,5655.0,3293.59,22977.13
30,5582.8,5581.8,5577.3,3277.17,23331.94
31,5729.0,5582.8,5581.8,3342.48,23418.51
32,5792.0,5729.0,5582.8,3403.15,23485.8
33,5860.3,5792.0,5729.0,3441.42,23494.34
34,5785.7,5860.3,5792.0,3464.9,23516.59
35,5776.5,5785.7,5860.3,3438.5,23474.27
36,5889.2,5776.5,5785.7,3439.91,23639.46
37,5884.7,5889.2,5776.5,3439.38,23567.04
38,5919.6,5884.7,5889.2,3493.66,23671.13
39,5832.5,5919.6,5884.7,3493.5,23410.63
40,5935.1,5832.5,5919.6,3453.72,23507.23
41,5969.7,5935.1,5832.5,3515.47,23626.73
42,6001.4,5969.7,5935.1,3534.01,23601.78
43,6016.7,6001.4,5969.7,3500.02,23558.69
44,5978.0,6016.7,6001.4,3459.67,23619.69
